agent\.ip,rule\.id,data\.win\.eventdata\.image,data\.win\.eventdata\.processId,data\.win\.eventdata\.logonGuid,data\.win\.eventdata\.commandLine
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5700, , 
10.0.2.15,60132, ,0x11dc, , 
10.0.2.15,60132, ,0x11dc, , 
10.0.2.15,60642, , , , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,4956, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,3536, , 
10.0.2.15,60805, , , , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,3024, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,5868, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,2848, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,3492, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,1208, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,2516, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,5784, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,4464, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,3192, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,4928, , 
10.0.2.15,61104, , , , 
10.0.2.15,60668, , , , 
10.0.2.15,60646, , , , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60642, , , , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net1.exe,4316,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net.exe,4436,{5c87e6ab-7379-67cd-e703-000000000000},net.exe accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net1.exe,4532,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 accounts
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net1.exe,4648,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 accounts
10.0.2.15,92039,C:\\Windows\\SysWOW64\\net.exe,940,{5c87e6ab-7379-67cd-e703-000000000000},net user administrator
10.0.2.15,92039,C:\\Windows\\SysWOW64\\net.exe,3448,{5c87e6ab-7379-67cd-e703-000000000000},net user administrator
10.0.2.15,92039,C:\\Windows\\SysWOW64\\net1.exe,908,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 user administrator
10.0.2.15,92201,C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,1272, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3764, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,2824, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5632, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5548, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,4532, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,1256, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,1164, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,1624, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,5200, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,1208, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3984, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5032, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,1236, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,2168, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5896, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,5664, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,1488, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,2560, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3380, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3320, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60642, , , , 
10.0.2.15,67028, , , , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60776, , , , 
10.0.2.15,60798, , , , 
10.0.2.15,60646, , , , 
10.0.2.15,60642, , , , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net1.exe,4476,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net.exe,4492,{5c87e6ab-7379-67cd-e703-000000000000},net.exe accounts
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net1.exe,4600,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net.exe,4612,{5c87e6ab-7379-67cd-e703-000000000000},net.exe accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net.exe,4664,{5c87e6ab-7379-67cd-e703-000000000000},net.exe accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net1.exe,4704,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net.exe,4840,{5c87e6ab-7379-67cd-e703-000000000000},net.exe accounts
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net.exe,3560,{5c87e6ab-7379-67cd-e703-000000000000},net.exe accounts
10.0.2.15,92031,C:\\Windows\\SysWOW64\\net1.exe,1376,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 accounts
10.0.2.15,92039,C:\\Windows\\SysWOW64\\net.exe,3996,{5c87e6ab-7379-67cd-e703-000000000000},net user guest
10.0.2.15,92039,C:\\Windows\\SysWOW64\\net1.exe,3868,{5c87e6ab-7379-67cd-e703-000000000000},C:\\Windows\\system32\\net1 user guest
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5308, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3208, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,1148, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5376, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3512, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,1396, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5820, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,2784, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,920, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3500, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5344, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,4344, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,2768, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,5024, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,2836, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscorsvw.exe,3528, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,3528, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,4164, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,2440, , 
10.0.2.15,92217,C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\mscorsvw.exe,1480, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
